Primorsko Beach-South	Europe	Bulgaria	Bourgas	Primorsko	NULL	NULL	Black Sea	42.25406132083178, 27.75105500011705	5	8.8	7.5	4.5	4.5	8.4	2.5	8.5	9.6	1	0	0	2	8.7	0	9.5
Primorsko Beach-North	Europe	Bulgaria	Bourgas	Primorsko	NULL	NULL	Black Sea	42.27807082901976, 27.75407838926185	4.9	8.4	7.1	4.8	3.8	8.3	3.4	7.7	8.9	0.9	0	0	2.5	8.2	0.5	8.5
Pasandigan Beach	Asia	Philippines	Luzon	Bacuit Archipelago	Cadlao Island	NULL	South China Sea	11.205423, 119.363944	6.8	9.3	8.3	8.5	9.3	0	9	9	9	5	5	5	10	8	5	1
Papaya Beach-El Nido	Asia	Philippines	Luzon	Palawan Islands	Palawan Isl. Coastline	NULL	South China Sea	11.172844466367344, 119.38152801885735	6.6	9.3	7	9	7	2	8	7	6	6	6.5	6.5	10	5	6	4
7 Commandos Beach-El Nido	Asia	Philippines	Luzon	Palawan Islands	Palawan Isl. Coastline	NULL	South China Sea	11.173565, 119.379083	6.2	9	7.5	7.5	6	7	7.5	7	8.5	4	4	4	10	5.5	0	6
Ipil Beach-El Nido	Asia	Philippines	Luzon	Palawan Islands	Palawan Isl. Coastline	NULL	South China Sea	11.180976, 119.374987	6.2	9.5	8	10	9.3	0	7.5	9	8.5	4	4	4	10	7.5	1	0
Paradise Beach	Asia	Philippines	Luzon	Bacuit Archipelago	Cadlao Island	NULL	South China Sea	11.199134, 119.376739	6.3	9	8	10	9	0	8	8	9.5	5	5	5	10	8	0	0
Corong Corong Beach-El Nido	Asia	Philippines	Luzon	Palawan Islands	Palawan Isl. Coastline	NULL	South China Sea	11.168629, 119.395349	3.1	4	0.1	9	5.5	5	3	1.5	6.5	2.5	0.1	0	8.5	0.5	0	1
Marimegmeg Beach-El Nido	Asia	Philippines	Luzon	Palawan Islands	Palawan Isl. Coastline	NULL	South China Sea	11.147057, 119.396960	4.9	7.8	7	8.7	6	3	5	7.5	8.5	3	0.5	0.5	7	7	0	2
Pinagbuyatan Island Beach	Asia	Philippines	Luzon	Bacuit Archipelago	Pinagbuyatan Island	NULL	South China Sea	11.119990, 119.394713	5.9	9.2	7.5	8.5	9	1	9	8.3	9	4	4	4	9.3	6	0	0
Port Barton Beach	Asia	Philippines	Luzon	Palawan Islands	Palawan Isl. Coastline	NULL	South China Sea	10.414404, 119.178010	4.4	7	3	6	7	7	2	3.5	8.5	2.5	0	0	8.5	5	0	6.5
White Beach-Port Barton	Asia	Philippines	Luzon	Palawan Islands	Palawan Isl. Coastline	NULL	South China Sea	10.405599, 119.155353	5.4	8.3	7.5	6.5	8.5	5	5	7.5	7.5	4.5	1.5	1.5	8.4	5	0	4
Inoladoan Island Beach	Asia	Philippines	Luzon	Palawan Islands	Inoladoan Island	NULL	South China Sea	10.461011, 119.153285	6.9	9.1	8.8	8.7	8.5	1	9	9	9	7	5.3	6.3	9.7	3.5	7	1.5
Pristine Beach-Puerto Princesa	Asia	Philippines	Luzon	Palawan Islands	Palawan Isl. Coastline	NULL	South China Sea	9.727064, 118.756385	1.9	3.5	0.5	0.5	5	5	1	1	8.5	0	0	0	0	1	0	2
Dayang Beach	Asia	Philippines	Mindanao	Davao Region Islands	Talicud Island	NULL	Celebes Sea	6.949512, 125.668774	7.1	7	7	6	6.5	5.5	8	8	8	7	7.3	7.3	7	7	7	7.5
San Remegio Beach	Asia	Philippines	Mindanao	Davao Region Islands	Samal Island	NULL	Celebes Sea	6.921311, 125.777376	6.8	6	6	6	7.5	6.5	8	8	8	6	6	6	6	5.5	8.5	7.5
Isla Reta Beach	Asia	Philippines	Mindanao	Davao Region Islands	Talicud Island	NULL	Celebes Sea	6.936518, 125.720669	6.3	8.8	8.5	5	5	6.5	8	7	8.5	3.5	3	3.5	6.5	5	8	7
Linosutan White Sand Beach	Asia	Philippines	Mindanao	Davao Region Islands	Talicud Island	NULL	Celebes Sea	6.934009967092523, 125.67729484930169	6.2	8.5	4	4.5	9.5	0	7	8.5	8	5	9	9	4	8	1	6.5
Kaputian Beach	Asia	Philippines	Mindanao	Davao Region Islands	Samal Island	NULL	Celebes Sea	6.965071, 125.722816	3.4	8	3.5	3.5	2	7	6	2	7	3.5	0	0	3	2	1	3
